1,1,915.10,481.50,94.70,113.50,1,-1,-1,-1
1,2,836.70,472.80,53.50,76.20,1,-1,-1,-1
1,3,376.00,446.60,42.70,104.80,1,-1,-1,-1
1,4,442.40,448.30,109.10,275.40,1,-1,-1,-1
1,5,586.40,445.00,87.80,265.60,1,-1,-1,-1
1,6,1340.10,415.10,166.40,376.90,1,-1,-1,-1
1,7,796.50,474.90,54.90,61.60,1,-1,-1,-1
1,8,1090.50,481.40,34.80,118.80,1,-1,-1,-1
1,9,1055.10,485.20,38.40,107.90,1,-1,-1,-1
1,10,1256.80,449.20,34.10,99.50,1,-1,-1,-1
1,11,1014.40,431.10,44.40,122.40,1,-1,-1,-1
1,12,1099.00,437.30,42.40,111.00,1,-1,-1,-1
2,1,915.80,481.40,93.50,113.60,1,-1,-1,-1
2,2,837.20,472.50,53.10,76.60,1,-1,-1,-1
2,3,375.60,446.30,43.30,105.50,1,-1,-1,-1
2,4,442.80,447.60,109.60,274.90,1,-1,-1,-1
2,5,587.20,444.80,86.00,266.20,1,-1,-1,-1
2,6,1344.10,414.70,168.20,386.50,1,-1,-1,-1
2,7,796.30,475.20,54.80,62.00,1,-1,-1,-1
2,8,1090.40,482.00,34.60,117.70,1,-1,-1,-1
2,9,1055.00,485.10,38.40,107.70,1,-1,-1,-1
2,10,1257.00,448.50,34.20,101.00,1,-1,-1,-1
2,11,1014.40,430.50,43.80,121.70,1,-1,-1,-1
2,12,1099.40,437.90,41.90,109.20,1,-1,-1,-1
3,1,916.20,481.40,93.50,113.60,1,-1,-1,-1
3,2,836.70,472.70,53.00,77.10,1,-1,-1,-1
3,3,375.70,446.60,42.30,104.80,1,-1,-1,-1
3,4,441.10,448.30,110.70,274.80,1,-1,-1,-1
3,5,586.70,442.40,86.60,269.80,1,-1,-1,-1
3,6,1346.80,417.50,172.80,379.60,1,-1,-1,-1
3,7,796.20,474.80,56.10,62.70,1,-1,-1,-1
3,8,1090.20,482.20,34.90,117.90,1,-1,-1,-1
3,9,1054.70,484.20,39.10,108.60,1,-1,-1,-1
3,10,1256.70,448.90,34.00,101.10,1,-1,-1,-1
3,11,1015.50,430.30,43.30,119.40,1,-1,-1,-1
3,12,1099.10,438.70,41.70,109.80,1,-1,-1,-1
4,1,915.60,481.80,94.40,113.50,1,-1,-1,-1
4,2,836.90,472.50,52.80,77.00,1,-1,-1,-1
4,3,376.30,447.10,41.30,104.50,1,-1,-1,-1
4,4,440.50,447.70,111.40,277.60,1,-1,-1,-1
4,5,588.00,446.40,85.90,263.50,1,-1,-1,-1
4,6,1346.80,416.30,177.80,380.70,1,-1,-1,-1
4,7,796.80,474.90,55.70,62.50,1,-1,-1,-1
4,8,1090.30,482.50,34.60,117.70,1,-1,-1,-1
4,9,1054.30,484.60,38.80,108.50,1,-1,-1,-1
4,10,1257.20,448.60,33.90,102.10,1,-1,-1,-1
4,11,1014.40,431.30,43.90,117.70,1,-1,-1,-1
4,12,1099.20,439.30,40.50,107.90,1,-1,-1,-1
5,1,914.50,482.50,96.30,112.90,1,-1,-1,-1
5,2,836.90,472.50,52.70,77.00,1,-1,-1,-1
5,3,376.20,447.10,41.30,104.30,1,-1,-1,-1
5,4,442.10,447.90,114.00,276.50,1,-1,-1,-1
5,5,588.20,445.00,85.40,265.60,1,-1,-1,-1
5,6,1357.10,411.80,175.90,384.10,1,-1,-1,-1
5,7,796.90,474.70,55.60,62.90,1,-1,-1,-1
5,8,1090.50,482.50,34.30,117.50,1,-1,-1,-1
5,9,1054.10,485.00,39.10,108.00,1,-1,-1,-1
5,10,1257.40,448.30,34.20,102.40,1,-1,-1,-1
5,11,1013.70,431.00,44.50,118.00,1,-1,-1,-1
5,12,1099.50,438.50,40.20,108.20,1,-1,-1,-1
6,1,914.30,483.50,96.20,111.70,1,-1,-1,-1
6,2,836.10,473.10,53.30,76.40,1,-1,-1,-1
6,3,376.20,447.00,41.60,105.50,1,-1,-1,-1
6,4,441.50,444.10,117.70,285.60,1,-1,-1,-1
6,5,586.40,443.90,87.80,267.60,1,-1,-1,-1
6,6,1361.50,409.30,172.10,387.60,1,-1,-1,-1
6,7,796.30,475.30,56.60,61.60,1,-1,-1,-1
6,8,1090.80,482.50,34.40,117.80,1,-1,-1,-1
6,9,1055.60,485.40,38.60,108.50,1,-1,-1,-1
6,10,1257.40,447.20,34.10,102.90,1,-1,-1,-1
6,11,1014.40,431.40,43.70,117.20,1,-1,-1,-1
6,12,1099.80,438.40,40.90,109.00,1,-1,-1,-1
6,13,1484.70,431.70,131.00,344.40,1,-1,-1,-1
7,1,914.00,482.40,96.30,112.70,1,-1,-1,-1
7,2,836.40,472.30,53.20,77.60,1,-1,-1,-1
7,3,375.80,447.80,42.20,104.30,1,-1,-1,-1
7,4,439.30,445.90,122.00,285.20,1,-1,-1,-1
7,5,586.00,448.60,86.90,260.80,1,-1,-1,-1
7,6,1371.50,413.40,165.30,381.30,1,-1,-1,-1
7,7,796.30,475.30,55.30,61.80,1,-1,-1,-1
7,8,1090.70,482.40,34.50,117.80,1,-1,-1,-1
7,9,1054.00,485.30,38.90,107.90,1,-1,-1,-1
7,10,1256.50,447.40,34.30,101.60,1,-1,-1,-1
7,11,1013.90,432.30,41.80,117.40,1,-1,-1,-1
7,12,1099.70,439.30,41.70,106.90,1,-1,-1,-1
7,13,1485.70,428.40,138.80,344.70,1,-1,-1,-1
8,1,914.20,482.20,96.20,113.30,1,-1,-1,-1
8,2,836.70,472.60,53.00,76.70,1,-1,-1,-1
8,3,375.50,446.80,42.40,104.90,1,-1,-1,-1
8,4,439.20,446.10,124.00,285.20,1,-1,-1,-1
8,5,585.60,444.30,87.10,268.60,1,-1,-1,-1
8,6,1388.50,411.30,155.00,389.40,1,-1,-1,-1
8,7,796.40,475.10,56.10,62.80,1,-1,-1,-1
8,8,1091.20,481.80,34.00,118.60,1,-1,-1,-1
8,9,1054.20,485.60,38.80,108.40,1,-1,-1,-1
8,10,1256.80,448.10,34.40,101.00,1,-1,-1,-1
8,11,1013.90,434.20,41.40,114.30,1,-1,-1,-1
8,12,1099.90,438.60,41.70,106.60,1,-1,-1,-1
8,13,1483.50,417.40,145.50,366.10,1,-1,-1,-1
9,1,914.30,482.40,96.10,113.00,1,-1,-1,-1
9,2,836.20,472.70,53.70,76.80,1,-1,-1,-1
9,3,375.50,446.50,41.90,105.30,1,-1,-1,-1
9,4,441.30,447.00,125.50,282.40,1,-1,-1,-1
9,5,584.30,443.10,88.40,270.50,1,-1,-1,-1
9,6,1398.70,406.50,145.00,399.20,1,-1,-1,-1
9,7,795.90,475.30,56.70,62.60,1,-1,-1,-1
9,8,1091.20,481.80,33.80,117.90,1,-1,-1,-1
9,9,1054.40,487.70,38.30,106.30,1,-1,-1,-1
9,10,1256.70,447.30,34.90,101.80,1,-1,-1,-1
9,11,1013.30,433.10,42.10,117.40,1,-1,-1,-1
9,12,1099.40,438.70,42.00,107.70,1,-1,-1,-1
9,13,1502.60,415.70,144.60,366.60,1,-1,-1,-1
9,14,418.50,460.80,40.80,86.50,1,-1,-1,-1
